FPR,TPR
0.0,0.0
0.0,0.004975124378109453
0.0,0.01990049751243781
0.0,0.024875621890547265
0.004807692307692308,0.029850746268656716
0.004807692307692308,0.05472636815920398
0.004807692307692308,0.06467661691542288
0.004807692307692308,0.07462686567164178
0.004807692307692308,0.0945273631840796
0.004807692307692308,0.09950248756218906
0.004807692307692308,0.10945273631840796
0.004807692307692308,0.4129353233830846
0.009615384615384616,0.4129353233830846
0.009615384615384616,0.47761194029850745
0.009615384615384616,0.4925373134328358
0.009615384615384616,0.5024875621890548
0.009615384615384616,0.6019900497512438
0.014423076923076924,0.6019900497512438
0.014423076923076924,0.6368159203980099
0.014423076923076924,0.6567164179104478
0.014423076923076924,0.6915422885572139
0.014423076923076924,0.7014925373134329
0.014423076923076924,0.7263681592039801
0.014423076923076924,0.736318407960199
0.014423076923076924,0.8009950248756219
0.028846153846153848,0.8009950248756219
0.028846153846153848,0.8109452736318408
0.038461538461538464,0.8109452736318408
0.08173076923076923,0.8258706467661692
0.09134615384615384,0.8258706467661692
0.09134615384615384,0.8308457711442786
0.13942307692307693,0.8308457711442786
0.13942307692307693,0.835820895522388
0.16826923076923078,0.835820895522388
0.18269230769230768,0.835820895522388
0.20192307692307693,0.835820895522388
0.20192307692307693,0.8407960199004975
0.21153846153846154,0.8407960199004975
0.22115384615384615,0.8407960199004975
0.2403846153846154,0.8507462686567164
0.2692307692307692,0.8507462686567164
0.27884615384615385,0.8507462686567164
0.2932692307692308,0.8507462686567164
0.3173076923076923,0.8557213930348259
0.3173076923076923,0.8606965174129353
0.32211538461538464,0.8606965174129353
0.3317307692307692,0.8606965174129353
0.33653846153846156,0.8606965174129353
0.34134615384615385,0.8656716417910447
0.34134615384615385,0.8706467661691543
0.35096153846153844,0.8706467661691543
0.35096153846153844,0.8756218905472637
0.36538461538461536,0.8756218905472637
0.3701923076923077,0.8805970149253731
0.38461538461538464,0.8805970149253731
0.3894230769230769,0.8855721393034826
0.39903846153846156,0.8855721393034826
0.42788461538461536,0.8855721393034826
0.42788461538461536,0.8905472636815921
0.46153846153846156,0.8905472636815921
0.46153846153846156,0.8955223880597015
0.5,0.8955223880597015
0.5,0.900497512437811
0.5096153846153846,0.900497512437811
0.5096153846153846,0.9054726368159204
0.5144230769230769,0.9054726368159204
0.5144230769230769,0.9104477611940298
0.5480769230769231,0.9104477611940298
0.5528846153846154,0.9154228855721394
0.5625,0.9154228855721394
0.5625,0.9203980099502488
0.5817307692307693,0.9203980099502488
0.5817307692307693,0.9253731343283582
0.5913461538461539,0.9353233830845771
0.5961538461538461,0.9353233830845771
0.6346153846153846,0.9651741293532339
0.6730769230769231,0.9651741293532339
0.6730769230769231,0.9701492537313433
0.7019230769230769,0.9701492537313433
0.7019230769230769,0.9751243781094527
0.7115384615384616,0.9751243781094527
0.7115384615384616,0.9800995024875622
0.7403846153846154,0.9800995024875622
0.7836538461538461,0.9900497512437811
0.7932692307692307,0.9900497512437811
0.7932692307692307,0.9950248756218906
0.8173076923076923,0.9950248756218906
0.8173076923076923,1.0
1.0,1.0
