Name,Accuracy,Precision,Recall,F1,AUC
Base,0.8248829953198128,0.37037037037037035,0.02262443438914027,0.042643923240938165,0.6190997351597783
BaseCampaign,0.9169266770670826,0.7625570776255708,0.7539503386004515,0.7582292849035187,0.9012104048199079
BaseCampaignBin,0.9274570982839313,0.8394736842105263,0.7184684684684685,0.7742718446601942,0.9155904725480197
BaseBow,0.9438377535101404,0.8765743073047859,0.7855530474040632,0.8285714285714285,0.9178110329575364
BaseBowBin,0.9399375975039002,0.8717948717948718,0.7657657657657657,0.8153477218225419,0.9098923805881353
