Name,Accuracy,Precision,Recall,F1,AUC
Base,0.8287831513260531,0.8,0.00904977375565611,0.01789709172259508,0.6210657793168743
BaseCampaign,0.8923556942277691,0.7238605898123325,0.6094808126410836,0.6617647058823529,0.832817690024404
BaseCampaignBin,0.891575663026521,0.718421052631579,0.6148648648648649,0.662621359223301,0.8363080061193269
BaseBow,0.9021060842433697,0.7696629213483146,0.618510158013544,0.6858573216520651,0.8622301120792505
BaseBowBin,0.8939157566302652,0.7606060606060606,0.5653153153153153,0.6485788113695091,0.8565310003399627
