Name,Accuracy,Precision,Recall,F1,AUC
Base,0.8549141965678627,0.7473684210526316,0.16945107398568018,0.27626459143968873,0.7075932818176255
BaseCampaign,0.9574882995319812,0.8954081632653061,0.837708830548926,0.8655980271270037,0.9279058252805269
BaseCampaignBin,0.9574882995319812,0.8954081632653061,0.837708830548926,0.8655980271270037,0.924436581715818
BaseBow,0.9520280811232449,0.8915343915343915,0.8042959427207638,0.8456712672521958,0.9165846087087138
BaseBowBin,0.9535881435257411,0.898936170212766,0.8066825775656324,0.8503144654088051,0.9180933624847705
