Name,10-fold CV,Test Score,AUC
Base,0.8623951628632729,0.8549141965678627,0.7075932818176255
BaseCampaign,0.9542617515116052,0.9574882995319812,0.9279058252805269
BaseCampaignBin,0.9542617515116052,0.9574882995319812,0.924436581715818
BaseBow,0.9465574409986347,0.9520280811232449,0.9165846087087138
BaseBowBin,0.947435147259606,0.9535881435257411,0.9180933624847705
